
="",="(1)",="(2)"
="",="chose_higher_option",="chose_higher_option"

="chose_higher_option",="",=""
="val_diff",="0.0002*",="-0.0001"
="",="(0.0001)",="(0.0000)"

="0.pareto",="0.0000",="0.0000"
="",="(.)",="(.)"

="1.pareto",="-0.3311***",="-0.1479***"
="",="(0.0405)",="(0.0374)"

="0.pareto#c.val_diff",="0.0000",="0.0000"
="",="(.)",="(.)"

="1.pareto#c.val_diff",="-0.0001*",="-0.0003***"
="",="(0.0001)",="(0.0001)"

="0.around_diagonal",="",="0.0000"
="",="",="(.)"

="1.around_diagonal",="",="-0.7400***"
="",="",="(0.0692)"

="0.pareto#0.around_diagonal",="",="0.0000"
="",="",="(.)"

="0.pareto#1.around_diagonal",="",="0.0000"
="",="",="(.)"

="1.pareto#0.around_diagonal",="",="0.0000"
="",="",="(.)"

="1.pareto#1.around_diagonal",="",="0.1742**"
="",="",="(0.0597)"

="_cons",="1.3260***",="1.1201***"
="",="(0.0704)",="(0.0713)"

="N",="48640",="22442"
="pseudo R-sq",="0.015",="0.036"

="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01, *** p<0.001"
